month,symbol,signal,vol,carry,rank,weight
2021-07,ZC,0.12881648,0.36010134,0.01286161,15.0,0.1015625
2021-08,ZC,0.11712226,0.42418156,-0.00187865,15.0,0.1015625
2021-09,ZC,0.08767526,0.43605549,-0.05817826,15.0,0.1015625
2021-10,ZC,0.0757666,0.4585492,-0.05673603,15.0,0.1015625
2021-11,ZC,0.09179611,0.23232581,-0.0035772,15.0,0.1015625
2021-12,ZC,0.07972891,0.23063711,-0.01793079,15.0,0.1015625
2022-01,ZC,0.08753791,0.18406417,0.01460417,14.0,0.0859375
2022-02,ZC,0.07944361,0.15581583,0.0591982,14.0,0.0859375
2022-03,ZC,-0.00917935,0.19238088,0.12524215,5.0,-0.0546875
2022-04,ZC,-0.08901531,0.12689914,0.03429808,1.0,-0.1171875
2022-05,ZC,-0.02336865,0.14010511,0.2271464,4.0,-0.0703125
2022-06,ZC,0.05845439,0.18226695,0.98954022,11.0,0.0390625
2022-07,ZC,0.03298611,0.20078568,-0.02435035,9.0,0.0078125
2022-08,ZC,0.04756073,0.23076301,0.0194081,11.0,0.0390625
2022-09,ZC,0.11344427,0.21453025,-0.03875045,13.0,0.0703125
2022-10,ZC,0.11507375,0.2193494,-0.03069527,13.0,0.0703125
2022-11,ZC,0.10201409,0.18766606,-0.03053689,10.0,0.0234375
2022-12,ZC,0.09559044,0.18873832,0.00456371,11.0,0.0390625
2023-01,ZC,0.09282423,0.18498609,0.02052538,11.0,0.0390625
2023-02,ZC,0.08099248,0.15662457,-0.00737132,11.0,0.0390625
2023-03,ZC,0.17027521,0.16008897,0.21914166,13.0,0.0703125
2023-04,ZC,0.23150083,0.15895431,0.48460394,16.0,0.1171875
2023-05,ZC,0.20383675,0.15660014,0.82645574,16.0,0.1171875
2023-06,ZC,0.06086204,0.15175679,0.74656708,11.0,0.0390625
2023-07,ZC,0.1505616,0.16981514,-0.07104143,16.0,0.1171875
2023-08,ZC,0.12062344,0.22011916,-0.14744687,16.0,0.1171875
2023-09,ZC,0.08588768,0.22986971,-0.12433838,15.0,0.1015625
